fecha,nominal_solicitado,nominal_adjudicado,tipo_marginal,interes_medio,fecha_vencimiento,ret
2010-01-19,8305.02,4500.0,0.00858,0.00836,2011-01-21,
2010-02-16,5860.27,3989.22,0.00897,0.00863,2011-02-18,0.03229665071770338
2010-03-16,8023.22,4692.22,0.00848,0.00838,2011-03-18,-0.028968713789107814
2010-04-20,7071.29,4715.26,0.00904,0.00887,2011-04-21,0.058472553699283836
2010-05-18,5499.23,4359.21,0.01699,0.0159,2011-05-20,0.7925591882750849
2010-06-15,6261.44,4180.42,0.0245,0.02303,2011-06-17,0.44842767295597463
2010-07-20,8299.93,4248.48,0.02249,0.02221,2011-07-22,-0.03560573165436376
2010-08-17,10745.9,4342.97,0.01899,0.01836,2011-08-19,-0.17334533993696533
2010-09-21,9054.18,5279.58,0.01938,0.01908,2011-09-23,0.039215686274509665
2010-10-19,8606.74,4183.32,0.01859,0.01842,2011-10-21,-0.03459119496855345
2010-11-16,7098.93,3731.93,0.0245,0.02363,2011-11-18,0.28284473398479926
2010-12-14,4444.53,1990.53,0.0352,0.03449,2011-12-16,0.45958527295810403
2011-01-18,9684.02,4501.03,0.0301,0.02947,2012-01-20,-0.14554943461873004
2011-02-15,10353.98,4970.62,0.02463,0.0241,2012-02-17,-0.1822192059721751
2011-03-15,9410.49,3972.08,0.02178,0.02128,2012-03-23,-0.11701244813278011
2011-04-18,5714.51,3509.31,0.029,0.0277,2012-04-20,0.3016917293233081
2011-05-17,10675.74,4272.75,0.02568,0.02546,2012-05-18,-0.08086642599277971
2011-06-14,11295.52,3958.17,0.02728,0.02695,2012-06-22,0.058523173605655954
2011-07-19,8237.96,3787.56,0.0376,0.03702,2012-07-20,0.3736549165120593
2011-08-16,8905.72,4154.92,0.034,0.03335,2012-08-24,-0.09913560237709351
2011-09-20,9968.17,3587.04,0.03648,0.03591,2012-09-21,0.0767616191904048
2011-10-18,8205.55,3560.53,0.03688,0.03608,2012-10-19,0.004734057365636479
2011-11-15,5526.15,2600.15,0.052,0.05022,2012-11-23,0.39190687361419063
2011-12-13,10824.83,3443.05,0.04088,0.0405,2012-12-14,-0.19354838709677413
2012-01-17,10658.74,3007.05,0.0215,0.02049,2013-01-18,-0.4940740740740741
2012-02-14,6680.16,2943.19,0.01949,0.01899,2013-02-15,-0.07320644216691075
2012-03-20,7692.52,3598.22,0.01473,0.01418,2013-03-15,-0.25329120589784093
2012-04-17,6062.57,2092.33,0.02738,0.02623,2013-04-19,0.8497884344146684
2012-05-14,4027.67,2192.46,0.03099,0.02985,2013-05-17,0.13800991231414428
2012-06-19,5180.53,2400.52,0.052,0.05074,2013-06-21,0.6998324958123952
2012-07-17,5785.8,2599.0,0.0399,0.03918,2013-07-19,-0.22782814347654712
2012-08-21,6755.56,3532.98,0.03207,0.0307,2013-08-23,-0.21643695763144455
2012-09-18,7227.45,3557.42,0.02978,0.02835,2013-09-20,-0.07654723127035834
2012-10-16,9202.12,3400.63,0.0286,0.02823,2013-10-18,-0.004232804232804144
2012-11-20,8964.91,4224.93,0.0285,0.02797,2013-11-22,-0.009210060219624672
2012-12-11,5867.17,2385.22,0.0265,0.02556,2013-12-13,-0.08616374687164818
2013-01-15,7169.4,3245.52,0.0152,0.01472,2014-01-24,-0.4241001564945227
2013-02-12,5966.4,3023.73,0.0158,0.01548,2014-02-21,0.05163043478260865
2013-03-12,7144.78,3854.67,0.014,0.01363,2014-03-14,-0.1195090439276486
2013-04-16,7923.23,3877.98,0.01274,0.01235,2014-04-16,-0.09391049156272924
2013-05-14,6157.33,3034.22,0.01015,0.00994,2014-05-16,-0.19514170040485834
2013-06-18,8304.32,3951.46,0.01423,0.01395,2014-06-20,0.40342052313883325
2013-07-16,6300.71,2415.15,0.0152,0.01503,2014-07-18,0.07741935483870965
2013-08-20,5687.35,2811.62,0.01278,0.01253,2014-08-22,-0.16633399866932808
2013-09-17,5764.09,3120.28,0.0139,0.01367,2014-09-19,0.0909816440542699
2013-10-15,7719.11,3753.97,0.0098,0.00961,2014-10-17,-0.2970007315288954
2013-11-19,6879.16,3709.05,0.00713,0.00678,2014-11-21,-0.2944849115504683
2013-12-10,7529.43,2849.21,0.00905,0.00883,2014-12-12,0.3023598820058997
2014-01-21,7134.46,2960.33,0.0074,0.00726,2015-01-23,-0.17780294450736123
2014-02-18,9009.22,3594.11,0.00628,0.00618,2015-02-20,-0.14876033057851246
2014-03-11,5901.46,3521.42,0.0056,0.00544,2015-03-13,-0.1197411003236245
2014-04-10,6596.28,3341.28,0.00565,0.00556,2015-04-10,0.022058823529411686
2014-05-13,8568.02,3313.02,0.00608,0.00598,2015-05-15,0.07553956834532372
2014-06-17,8052.3,4097.3,0.00395,0.00384,2015-06-19,-0.35785953177257523
2014-07-15,7154.89,3509.78,0.00302,0.00294,2015-07-17,-0.234375
2014-08-19,6739.19,3554.04,0.00169,0.0016,2015-08-21,-0.45578231292517
2014-09-16,6628.56,3778.56,0.00228,0.00219,2015-09-18,0.3687499999999999
2014-10-14,6987.58,2862.57,0.00295,0.00288,2015-10-16,0.31506849315068486
2014-11-18,6679.25,3334.25,0.00322,0.00312,2015-11-20,0.08333333333333326
2014-12-09,7659.52,3819.52,0.00369,0.00363,2015-12-11,0.16346153846153855
2015-01-20,9041.79,4264.79,0.00219,0.00213,2016-01-22,-0.4132231404958677
2015-02-17,7662.22,3955.2,0.00197,0.0019,2016-02-19,-0.107981220657277
2015-03-10,8069.41,3864.4,0.0007,0.00067,2016-03-11,-0.6473684210526316
2015-04-07,7586.03,3920.97,0.0001,6e-05,2016-04-08,-0.9104477611940298
2015-05-12,8075.66,4600.63,0.00019,0.00015,2016-05-13,1.4999999999999996
2015-06-16,4546.71,3331.61,0.00275,0.00248,2016-06-17,15.533333333333335
2015-07-14,7420.44,4960.42,0.00122,0.0011,2016-07-15,-0.5564516129032258
2015-08-18,8235.18,4815.18,0.00029,0.00024,2016-08-19,-0.7818181818181819
2015-09-15,6793.71,4463.71,0.00053,0.00048,2016-09-16,1.0
2015-10-13,7376.37,2856.35,0.00018,0.00014,2016-10-14,-0.7083333333333334
2015-11-17,7333.94,3515.28,-0.00046,-0.00049,2016-11-18,-4.5
