open_time,high_kg,low_kg,close_kg,high_oz,low_oz,close_oz,ret
2006-03-23,16806.57,14534.99,16508.23,522.74,452.09,513.46,
2006-04-22,18329.32,16068.69,16562.71,570.11,499.79,515.16,0.09061866319776568
2006-05-22,16858.33,13908.61,14788.27,524.35,432.61,459.97,-0.08026521197663605
2006-06-21,17258.88,14533.47,15973.56,536.81,452.04,496.83,0.02376275388576321
2006-07-21,16509.06,15262.4,15356.45,513.49,474.71,477.64,-0.04344181367709232
2006-08-20,16071.22,14475.84,14874.77,499.87,450.25,462.66,-0.02652437243179029
2006-09-19,15375.84,14188.84,15195.23,478.24,441.32,472.62,-0.04327125052513647
2006-10-19,15932.18,14714.19,15565.58,495.55,457.66,484.14,0.036195215791234636
2006-11-18,15766.95,15092.97,15144.31,490.41,469.44,471.04,-0.01037231359095947
2006-12-18,15665.94,14930.24,15542.15,487.27,464.38,483.41,-0.006402805815542201
2007-01-17,16582.75,15448.85,16360.02,515.78,480.51,508.85,0.05850965583762591
2007-02-16,16798.55,15483.66,15807.01,522.49,481.6,491.65,0.013009422622048294
2007-03-18,16417.02,15727.52,16407.21,510.63,489.18,510.32,-0.02269899902390482
2007-04-17,16430.03,15715.38,15756.99,511.03,488.8,490.1,0.0007833460627069133
2007-05-17,16078.19,15527.22,15747.95,500.09,482.95,489.82,-0.021407745142163814
2007-06-16,15879.8,15300.67,15568.1,493.92,475.9,484.22,-0.012337779199743992
2007-07-16,15962.05,15442.64,15919.96,496.48,480.32,495.17,0.005183025591188883
2007-08-15,16631.51,15443.29,16381.17,517.3,480.34,509.51,0.0419352239767965
2007-09-14,17038.99,16312.04,17012.63,529.97,507.36,529.15,0.024492557510148893
2007-10-14,18524.3,16935.64,17522.68,576.17,526.76,545.02,0.08717474574032469
2007-11-13,18107.99,16962.21,17742.17,563.22,527.58,551.84,-0.022476005345644423
2007-12-13,19520.43,17484.44,19491.13,607.15,543.83,606.24,0.07799794041404762
2008-01-12,20458.29,18983.57,20374.68,636.32,590.46,633.72,0.04804414065716878
2008-02-11,21129.29,19436.32,20384.98,657.19,604.54,634.04,0.03279796328891127
2008-03-12,20973.85,18049.04,18942.42,652.36,561.39,589.18,-0.007349472755215469
2008-04-11,19200.61,17514.21,18380.03,597.21,544.75,571.68,-0.08453921147832477
2008-05-11,19056.28,17904.83,18358.51,592.72,556.9,571.01,-0.007518293397632325
2008-06-10,19265.59,17916.48,18982.74,599.23,557.26,590.43,0.010983263598326243
2008-07-10,19894.41,18151.81,18350.64,618.79,564.58,570.77,0.032641890426046594
2008-08-09,18548.44,16938.27,18201.54,576.92,526.84,566.13,-0.06766431261009387
2008-09-08,21112.11,17020.67,21063.2,656.66,529.4,655.14,0.13821673715593152
2008-10-08,22032.01,17504.96,18561.59,685.27,544.47,577.33,0.04356897024335282
2008-11-07,20816.35,18074.03,19121.92,647.46,562.17,594.76,-0.055175332350752226
2008-12-07,20432.25,18962.13,20201.05,635.51,589.79,628.32,-0.0184567386402249
2009-01-06,23395.7,19592.47,22651.19,727.69,609.39,704.53,0.14504885839719295
2009-02-05,25517.62,21941.85,23860.68,793.69,682.47,742.15,0.09069796204427716
2009-03-07,24071.2,21161.1,21194.97,748.7,658.18,659.24,-0.056684599780770784
2009-04-06,22443.59,20709.78,21692.85,698.07,644.15,674.72,-0.067623881394417
2009-05-06,22419.15,21508.02,22199.46,697.31,668.97,690.48,-0.0010887160313437505
