open_time,close,open,high,low,ignored,ret
2000-01-30,1424.4,1360.2,1436.0,1350.0,"4,72%",
2000-02-06,1387.1,1424.4,1444.4,1379.2,"-2,62%",0.005849582172702039
2000-02-13,1346.1,1387.1,1407.8,1345.3,"-2,96%",-0.025339241207421814
2000-02-20,1333.4,1346.1,1370.1,1329.1,"-0,94%",-0.026779372069896334
2000-02-27,1409.2,1333.4,1410.9,1325.0,"5,68%",0.029778848259251367
2000-03-05,1395.1,1409.2,1413.4,1346.5,"-1,00%",0.00177191863349635
2000-03-12,1464.5,1395.1,1476.6,1357.0,"4,97%",0.04471487194000279
2000-03-19,1527.5,1464.5,1553.1,1446.0,"4,30%",0.05180820804551001
2000-03-26,1498.6,1527.5,1534.7,1474.6,"-1,89%",-0.01184727319554435
2000-04-02,1516.3,1498.6,1526.2,1417.2,"1,18%",-0.005538541734540936
2000-04-09,1356.6,1516.3,1527.1,1339.4,"-10,53%",0.0005896999082688481
2000-04-16,1434.5,1356.6,1447.7,1346.7,"5,74%",-0.05199397550913487
2000-04-23,1452.4,1434.5,1482.8,1407.2,"1,25%",0.02424535470055944
2000-04-30,1432.6,1452.4,1481.4,1398.4,"-1,36%",-0.0009441596978687627
2000-05-07,1421.0,1432.6,1432.6,1375.2,"-0,81%",-0.03294181179964906
2000-05-14,1407.0,1421.0,1470.4,1401.7,"-0,99%",0.026385592628787036
2000-05-21,1378.0,1407.0,1411.9,1361.2,"-2,06%",-0.039785092491838925
2000-05-28,1477.3,1378.0,1483.4,1377.8,"7,21%",0.050640980239393674
2000-06-04,1457.0,1477.3,1477.3,1454.8,"-1,37%",-0.004112174733719942
2000-06-11,1464.5,1457.0,1483.6,1442.5,"0,51%",0.004264536654707829
2000-06-18,1441.5,1464.5,1489.0,1438.3,"-1,57%",0.0036397950930171508
2000-06-25,1454.6,1441.5,1467.6,1434.6,"0,91%",-0.01437206178643391
2000-07-02,1478.9,1454.6,1485.2,1439.6,"1,67%",0.011992368492777405
2000-07-09,1510.0,1478.9,1510.0,1470.5,"2,10%",0.016698087799623007
2000-07-16,1480.2,1510.0,1517.2,1478.0,"-1,97%",0.004768211920529897
2000-07-23,1419.9,1480.2,1485.8,1414.2,"-4,07%",-0.020696018982335973
