"Date",High (kg),Low (kg),Close (kg),,High (troy oz),Low (troy oz),Close (troy oz),
"00:00:00 08-Nov-2025",117419.35,110868.01,114325.78,,3652.15,3448.38,3555.93,
"00:00:00 09-Oct-2025",121008.23,107289.14,111186.39,,3763.78,3337.07,3458.28,
"00:00:00 09-Sep-2025",112503.29,98936.72,110940.74,,3499.24,3077.28,3450.64,
"00:00:00 10-Aug-2025",99769.34,91285.91,99307.72,,3103.17,2839.31,3088.82,
"00:00:00 11-Jul-2025",94236.82,90745.66,93863.69,,2931.09,2822.51,2919.49,
"00:00:00 11-Jun-2025",96300.38,89099.61,91327.14,,2995.28,2771.31,2840.59,
"00:00:00 12-May-2025",95762.30,89686.65,93545.33,,2978.54,2789.57,2909.59,
"00:00:00 12-Apr-2025",97592.09,90365.60,94128.62,,3035.45,2810.68,2927.73,
"00:00:00 13-Mar-2025",93597.87,86706.16,91573.34,,2911.22,2696.86,2848.25,
"00:00:00 11-Feb-2025",91848.96,85401.47,86778.63,,2856.82,2656.28,2699.12,
"00:00:00 12-Jan-2025",91189.84,83279.96,91065.75,,2836.32,2590.30,2832.46,
"00:00:00 13-Dec-2024",84699.37,80035.49,84416.34,,2634.44,2489.38,2625.64,
"00:00:00 13-Nov-2024",83849.34,77545.00,82287.08,,2608.01,2411.92,2559.41,
"00:00:00 14-Oct-2024",82882.58,77826.62,78705.69,,2577.94,2420.68,2448.02,
"00:00:00 14-Sep-2024",78259.46,73782.43,77948.40,,2434.14,2294.89,2424.47,
"00:00:00 15-Aug-2024",75011.47,71421.34,74851.06,,2333.12,2221.45,2328.13,
"00:00:00 16-Jul-2024",73481.83,69308.99,71519.44,,2285.54,2155.75,2224.50,
"00:00:00 16-Jun-2024",71845.24,69047.64,71468.16,,2234.64,2147.62,2222.91,
"00:00:00 17-May-2024",72398.47,68062.90,70060.06,,2251.84,2116.99,2179.11,
"00:00:00 17-Apr-2024",73204.14,67973.57,70349.03,,2276.90,2114.21,2188.10,
"00:00:00 18-Mar-2024",73515.91,63364.91,72120.44,,2286.60,1970.87,2243.20,
"00:00:00 17-Feb-2024",64502.42,59919.83,63709.35,,2006.25,1863.72,1981.58,
"00:00:00 18-Jan-2024",61140.89,59211.98,60065.24,,1901.69,1841.70,1868.24,
"00:00:00 19-Dec-2023",60774.65,59105.26,59358.80,,1890.30,1838.38,1846.27,
"00:00:00 19-Nov-2023",63271.88,57851.32,59682.35,,1967.98,1799.38,1856.33,
"00:00:00 20-Oct-2023",61150.14,57982.54,58341.47,,1901.98,1803.46,1814.62,
"00:00:00 20-Sep-2023",60198.90,55366.81,60046.17,,1872.40,1722.10,1867.64,
"00:00:00 21-Aug-2023",58234.26,55673.47,58136.90,,1811.29,1731.64,1808.26,
"00:00:00 22-Jul-2023",57616.01,55771.88,55872.93,,1792.06,1734.70,1737.84,
"00:00:00 22-Jun-2023",57181.92,55747.98,56688.00,,1778.56,1733.96,1763.19,
"00:00:00 23-May-2023",59539.22,56537.49,56567.90,,1851.88,1758.51,1759.46,
"00:00:00 23-Apr-2023",60365.96,57618.97,58584.20,,1877.59,1792.15,1822.17,
"00:00:00 24-Mar-2023",59962.56,57844.32,58045.36,,1865.04,1799.16,1805.41,
"00:00:00 22-Feb-2023",60617.30,54719.61,59094.00,,1885.41,1701.97,1838.03,
"00:00:00 23-Jan-2023",57401.35,54959.25,55407.78,,1785.38,1709.42,1723.37,
"00:00:00 24-Dec-2022",57417.82,54349.45,57035.47,,1785.89,1690.46,1774.00,
"00:00:00 24-Nov-2022",55290.73,53384.49,54463.22,,1719.73,1660.44,1694.00,
"00:00:00 25-Oct-2022",55687.15,52963.38,54080.96,,1732.06,1647.35,1682.11,
"00:00:00 25-Sep-2022",56363.54,53241.98,53729.00,,1753.10,1656.01,1671.16,
"00:00:00 26-Aug-2022",56743.58,53399.95,54541.16,,1764.92,1660.92,1696.42,
"00:00:00 27-Jul-2022",56840.37,54299.35,56638.50,,1767.93,1688.90,1761.65,
"00:00:00 27-Jun-2022",56392.35,52902.63,54535.28,,1754.00,1645.46,1696.24,
"00:00:00 28-May-2022",57530.05,54829.25,55719.10,,1789.38,1705.38,1733.06,
"00:00:00 28-Apr-2022",58546.76,55194.18,55526.71,,1821.01,1716.73,1727.07,
"00:00:00 29-Mar-2022",59424.39,54631.38,57442.53,,1848.31,1699.23,1786.66,
"00:00:00 27-Feb-2022",61155.58,53923.49,56285.23,,1902.15,1677.21,1750.67,
"00:00:00 28-Jan-2022",56850.28,50405.31,53923.49,,1768.24,1567.78,1677.21,
"00:00:00 29-Dec-2021",52812.15,50662.67,51848.15,,1642.64,1575.79,1612.66,
"00:00:00 29-Nov-2021",51671.56,50004.87,51344.29,,1607.17,1555.33,1596.99,
"00:00:00 30-Oct-2021",53168.77,48879.69,51119.24,,1653.73,1520.33,1589.99,
"00:00:00 30-Sep-2021",50131.17,47859.46,49611.60,,1559.25,1488.60,1543.09,
